district,latitude,longitude,cases
Ampara,7.1240286,81.149084,1
Anuradhapura,8.3352352,80.3682942,12
Badulla,6.993401,81.054977,3
Batticaloa,7.70788,81.701736,1
Colombo,6.927079,79.861244,155
Galle,6.0402,80.220642,1
Gampaha,7.09115,79.999634,47
Hambantota,6.1412789,81.0989819,3
Jaffna,9.6699994,80.0109171,16
Kalmunai,7.4144,81.8306,2
Kalutara,6.5878321,79.9597504,63
Kandy,7.2945875,80.6082719,13
Kegalle,7.2534959,80.3369664,8
Kilinochchi,9.3770193,80.3415849,0
Kurunegala,7.4807041,80.3227609,20
Mannar,8.9955907,79.8681162,0
Matale,7.4583785,80.6111954,1
Matara,5.9520346,80.5332384,2
Monaragala,6.8788518,80.952821,4
Mullaitivu,9.2676912,80.810591,0
Nuwara Eliya,6.9514085,80.7634374,0
Polonnaruwa,7.9341968,80.9781591,1
Puttalam,8.0304797,79.7977198,41
Ratnapura,6.7168596,80.3351206,8
Trincomalee,8.5832926,81.1781972,1
Vavuniya,8.7520511,80.4505436,2
Quarantine,0,0,41
NAVAL BASE-WELISARA,0,0,170
Foreigners,0,0,3
